commit_hash,commit_date,high_confidence,medium_confidence,low_confidence,high_severity,medium_severity,low_severity,cwes
5a1cae3a5675c5733daf5949759476d65aa0e636,2025-02-25T15:22:08+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
240421c7c4c81fe5df26274b807266bd4ca73d7f,2025-02-24T16:25:53+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
582ba18d56167587e290545f113d3956e73a5801,2025-02-24T08:51:08+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
59353360590202fab04067e23214a825157c524b,2025-02-24T08:51:08+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
cecb76a942e4c9df518df098b1e62778cfe20f06,2025-02-24T08:51:08+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
51cab4ad51616f8fdb050631be5c710b93685ec3,2025-02-23T16:20:57+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
f7017db92cee1536c014710f475a613792c1e4b5,2025-02-22T18:14:37+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
87c5de3b7f2316aa17353d74f54e6ff19013d049,2025-02-20T16:12:28+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
43766c70bd2939771b7f37104866316faa34606b,2025-02-20T14:41:00+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
7500044a825b3e6695f4f0f9e56d5bdc0c5d7988,2025-02-20T08:14:18+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
65c46d6932c0956d2988d13ec3d9ab3ef9d96d61,2025-02-19T20:27:30+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
86493307f97b9795a74227b6af2d59a267160847,2025-02-19T12:14:27+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
2684a383bc67149ceea93cb1b99c8492b4614dcd,2025-02-19T09:44:53+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
d764487e79469e9ad7174145aa98d8d558a4605c,2025-02-19T08:38:24+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
0bf412111be686b6b23e00863f5d449d63557dbf,2025-02-18T17:28:24+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
9d22a7d8f0e814a596ecbeb6efd051262f6a03e3,2025-02-18T16:09:53+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
c3a23aa02faa1cf1d32e43d66858e793cd9ecac4,2025-02-18T11:43:27+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
51398f8bd568a6324a8cafe20c068d0974913ad5,2025-02-18T10:34:14+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
91bebf1adb43561b54bac18e76224759dc70acb3,2025-02-18T10:34:14+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
727731d76d9dfd5304d536478d862778f6dd6d9b,2025-02-18T08:58:49+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
efb7f9ced2dcf71294353596a265e3fd67faffeb,2025-02-18T08:35:36+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
0d1dd6bba0c18b7feb6caa5cbd8df80fbac54afd,2025-02-17T14:01:00+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
2fa1f99ab49ae5b6bc0a15ed9398d6fa2996f02a,2025-02-17T11:04:10+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
c07ba43c4bc94272c3d4a13c8f468b94db1e655c,2025-02-16T19:32:36+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
2d34ebe49a25d0974392583d5bbd954baf742a32,2025-02-16T08:43:42+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
99ac8e2589ea978c1c80ff66b4536814121f77dd,2025-02-16T08:37:55+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
dc69a63f844b2ef3bc3371edde91644cf0bef0ee,2025-02-16T07:58:15+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
df2c4952df6d93c575fb8a3c853dc9d4c2449f36,2025-02-15T15:46:59+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
6fcd0440aaa7601aa258d1c956eecfaedf72fbf4,2025-02-14T15:22:41+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
579a1c99962c8697053974a70de635a997be63dc,2025-02-14T15:19:12+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
d87bb0eb3ee4ca141c6fa251e6c2c97050e6c92c,2025-02-14T15:15:27+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
14b46c1b848d846fad55c8634daeabd8787cf0d6,2025-02-13T22:35:16+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
56e23b2319cc29e6f8518f8f21f95a530dddb930,2025-02-13T16:01:13+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
05002c153c5018e4429a326a6699c7c45e5ea957,2025-02-13T15:49:25+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
0ee842bb456cb3854d5546106e1259db83714d34,2025-02-13T12:52:06+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
54a902c6e81214462388f79a7c42f1c88c863dfd,2025-02-13T10:38:04+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
eb70aafdba18ac30e53056162c32ee6c21dea0b4,2025-02-13T10:38:04+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
d386405e04dac50656af50d100a14efdf8c58e8f,2025-02-13T09:29:24+01:00,576,494,31,14,529,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
8561100425876bde3be4b2a22324655f74ff9609,2025-02-13T09:29:24+01:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
47c837a1ff96ef1b10b44477a7a9f72283d12e83,2025-02-11T18:38:58+01:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
41239fe34d64e801212dccaa4585e4802d0fac68,2025-02-11T09:08:35+01:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
0597e8ad1e55b565292ead732916aa0e39bdf37b,2025-02-10T22:58:26-03:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
44ccd20375ba0d4da869ef994bc10a2311e9dc88,2025-02-10T22:58:26-03:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
3839afb63ad5183cdf08e06e3a43a014ca4b7263,2025-02-10T22:58:26-03:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
ca0794fa32b64ee42e9dce6df967777cb6347483,2025-02-10T22:58:26-03:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
0dc61495b2217e9c5a872ac967dfcf197d342c84,2025-02-10T22:53:31-03:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
4a3ad9eebbc16ce80b348644b557c84ecc741be7,2025-02-09T17:45:16+01:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
a0a765ddeb5056c85e084773d3f6432e2a426638,2025-02-09T15:15:15+01:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
c326cfe3b1683e6c205f53a4ad11feba6623a399,2025-02-09T15:15:15+01:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
17160819f3d98a6355bfd608fe756a43cba33343,2025-02-09T12:57:40+01:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
0bac41fc7e4a842e8d20319cba31cc645501c245,2025-02-06T16:57:44+01:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
089deb82b9ac2d002af36fd36f288368cdac4b53,2025-02-06T16:57:44+01:00,576,495,31,14,530,558,259;838;327;377;330;78;79;80;400;20;502;22;89;732;605;703
